Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
47	1.675104316075643	243178	5174	2759.971330613889	-1425.5724	172.01999	-1087.9312	-1648.5626	199.0	0.0
48	1.706007428963979	248352	5174	2790.8173708355066	-1457.757	151.1935	-1225.3936	-1651.5593	199.0	0.0
49	1.7362080375353495	253526	5174	2855.7299734459693	-1500.981	142.53763	-1223.9292	-1650.7773	199.0	0.0
50	1.7671228607495626	258700	5174	2789.8802322478064	-1461.2625	118.61923	-1248.1418	-1652.8955	199.0	0.0
51	1.798394246896108	263874	5174	2758.024934831353	-1520.9221	91.08484	-1273.9697	-1653.3501	199.0	0.0
52	1.828646731376648	269048	5174	2850.8245532657083	-1479.2213	116.85362	-1271.2537	-1650.9667	199.0	0.0
53	1.860005764166514	274222	5174	2750.3601415347516	-1527.4719	88.062874	-1362.251	-1650.8845	199.0	0.0
54	1.8904921650886535	279396	5174	2828.9512124442244	-1497.1962	93.96307	-1361.8757	-1652.9717	199.0	0.0
55	1.920872728029887	284570	5174	2838.922951901386	-1541.0323	83.42035	-1380.2537	-1650.4918	199.0	0.0
56	1.9516544342041016	289744	5174	2802.868010307723	-1528.6334	79.3244	-1384.9346	-1651.6559	199.0	0.0
57	1.982979381084442	294918	5174	2753.29685789405	-1541.961	64.674774	-1402.397	-1653.0828	199.0	0.0
58	2.0133633613586426	300092	5174	2838.4966693523916	-1529.238	67.19192	-1434.4594	-1643.3081	199.0	0.0
59	2.0441219210624695	305266	5174	2805.0975837567653	-1532.0215	113.91715	-1192.8479	-1650.0693	199.0	0.0
60	2.07491094271342	310440	5174	2801.253657993811	-1543.192	81.63111	-1284.0774	-1650.6343	199.0	0.0
61	2.218271001180013	315614	5174	601.5379773268442	-1557.836	62.78746	-1442.2406	-1655.4705	199.0	0.0
62	2.2491404096285503	320788	5174	2794.0131050502623	-1513.9193	133.58575	-1056.8605	-1648.7664	199.0	0.0
63	2.2797653675079346	325962	5174	2816.8417214911215	-1544.1581	122.325745	-1184.4696	-1653.5032	199.0	0.0
64	2.3101521094640094	331136	5174	2838.285060940919	-1535.939	112.74664	-1195.5916	-1650.606	199.0	0.0
65	2.340627829233805	336310	5174	2830.035834405834	-1487.7343	155.42091	-1049.5048	-1648.0957	199.0	0.0
66	2.371942953268687	341484	5174	2754.173223841557	-1545.3137	74.8233	-1405.0944	-1645.8043	199.0	0.0
67	2.4039622863133747	346658	5174	2693.4978346596445	-1524.7285	81.204895	-1362.5302	-1649.4325	199.0	0.0
68	2.4357892235120135	351832	5174	2709.8065885973824	-1524.2073	71.77895	-1378.1265	-1647.1373	199.0	0.0
69	2.4676412463188173	357006	5174	2707.638028181667	-1543.713	94.74836	-1327.9421	-1655.0845	199.0	0.0
70	2.499770466486613	362180	5174	2684.4501915924457	-1456.2716	113.85011	-1262.7662	-1650.4717	199.0	0.0
71	2.5309072772661847	367354	5174	2769.849658193403	-1466.408	128.82335	-1211.4233	-1651.6016	199.0	0.0
72	2.5615389307339984	372528	5174	2815.5330186011006	-1439.8562	181.34682	-1163.567	-1652.5361	199.0	0.0
