Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
58	10.968236521879833	302161	5751	402.67485492302177	43.22271	119.548706	265.0625	-113.01534	410.7857142857143	279.1420986244995
59	11.223836390177409	307389	5228	340.9028485037503	53.658546	81.283714	224.91382	-70.06824	580.8888888888889	377.5721989661034
60	11.427219601472219	312874	5485	449.4893289412674	11.742578	109.6138	178.84863	-160.2721	391.7857142857143	265.99897383567605
61	11.707139078776041	318603	5729	341.11961373984843	-37.851776	102.671036	248.88013	-193.09416	301.5263157894737	245.96819829123666
62	11.811092539628346	323675	5072	813.3077356851826	-55.85222	88.18114	205.19533	-153.8156	202.88	48.755980146029266
63	11.91461786031723	328735	5060	814.6503573676009	-54.58088	69.51855	225.49799	-177.14597	194.6153846153846	64.1273234235412
64	12.028503187497456	334059	5324	779.2477064501913	-54.72818	88.616005	223.67831	-202.57787	197.1851851851852	75.66154512135535
65	12.120321849981943	339216	5157	936.1417781790675	-77.413414	46.588753	34.495193	-154.04114	166.3548387096774	25.76011969905166
66	12.2100346048673	344251	5035	935.4524836067962	-57.737938	74.51879	188.2645	-144.45526	162.41935483870967	35.71732587030701
67	12.331097582976023	349289	5038	693.6117072973465	-65.596054	83.05444	187.8646	-217.6297	186.59259259259258	104.92193191598297
68	12.433324837684632	354383	5094	830.5407512314117	-69.29547	85.65396	240.31995	-178.41525	188.66666666666666	60.39131652076407
69	12.5448428551356	359424	5041	753.4190180848831	-70.02432	82.22159	212.50111	-178.71565	210.04166666666666	62.24178604888805
70	12.67913666566213	364607	5183	643.2692826743099	-18.06984	115.121086	270.10657	-177.90573	246.8095238095238	88.37292143315386
71	12.84553454319636	370068	5461	547.0015873369164	-50.891457	114.178635	216.7818	-217.3136	303.3888888888889	94.12057213364903
72	13.06197457710902	375312	5244	403.8145880213397	54.840878	136.91129	194.48404	-154.16806	437.0	148.1378862186623
73	13.289444847901661	380642	5330	390.53420964219254	81.92419	140.29884	212.53076	-207.2155	484.54545454545456	170.6359035204723
