Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
37	3.663069689273834	189948	5573	342.7241178358892	-46.568554	85.64122	42.004158	-190.7649	696.625	349.0028429325469
38	3.8797605872154235	195134	5186	398.88543128179816	-49.54936	86.02826	48.352146	-270.98865	518.6	338.62522056102085
39	4.1446553309758505	200858	5724	360.14960511601475	-11.728557	40.181797	51.290405	-65.98757	715.5	371.8440533341901
40	4.384231702486674	206130	5272	366.7641285749449	-36.260483	86.2472	37.623188	-225.58276	659.0	367.61494800946275
41	4.861730380853017	211275	5145	179.58305964489836	8.757697	29.425207	45.19514	-49.471336	514.5	396.10863408918516
42	5.148628155390422	217055	5780	335.7809793637531	-27.14419	108.01384	67.33752	-281.27155	825.7142857142857	288.41275694280057
43	5.369097312291463	222178	5123	387.2876214769694	11.280771	25.39009	43.81903	-45.691624	465.72727272727275	403.6123457227674
44	5.5867931564648945	227416	5238	401.0253060634417	17.655003	29.442207	48.477577	-53.374672	523.8	389.07603370035525
45	5.806610528628031	232836	5420	410.9554448018604	21.19304	28.98293	58.2583	-19.020432	774.2857142857143	355.42759531331285
46	6.02335551182429	238385	5549	426.69996323927967	26.298431	24.12362	70.65793	-12.202286	462.4166666666667	381.4351098883734
47	6.232387395699819	243885	5500	438.53837827118184	9.665671	63.624756	61.424835	-144.45198	611.1111111111111	357.75765988987087
48	6.484485912322998	249455	5570	368.25028166592637	47.988506	34.697044	83.48576	-18.292765	696.25	390.94652767354256
49	6.71811767021815	255251	5796	413.48192461691985	14.938843	100.46859	110.824356	-239.19443	644.0	371.6754856950706
50	6.894253929456075	260326	5075	480.2264106724677	0.34045964	98.12233	135.33943	-203.44687	461.3636363636364	340.27509532122355
51	7.115532581011454	265499	5173	389.6365297900483	8.025451	55.089775	97.71143	-68.43509	646.625	354.13625114495125
52	7.323322168986002	270542	5043	404.5040404841478	48.331573	86.934006	142.9282	-124.0021	720.4285714285714	333.30374698629186
53	7.601848344008128	276536	5994	358.67862453344645	116.96198	12.200992	139.29831	104.34642	999.0	0.0
54	7.790717788537344	281969	5433	479.4454143582871	59.296684	106.93343	212.43167	-153.5759	776.1428571428571	276.91949762208026
55	8.026839752991995	287963	5994	423.0947150475317	108.46171	40.01568	157.10344	30.35296	999.0	0.0
56	8.16336464881897	293135	5172	631.411337545257	76.41682	76.23681	172.93515	-28.491425	574.6666666666666	381.25203095998205
57	8.33580946524938	298330	5195	502.10875910652726	85.6675	69.90795	169.33353	-27.255943	865.8333333333334	297.769719003722
58	8.45623087088267	303412	5082	703.3967924005854	44.243313	91.57916	229.91022	-39.170097	462.0	343.0857300760528
59	8.608855652809144	309130	5718	624.4237801041697	41.89227	89.22467	238.29791	-56.515884	439.84615384615387	350.1715724862811
60	8.74151630004247	314564	5434	682.7683053195351	86.76597	77.049614	171.03157	-49.01979	776.2857142857143	352.18692856643787
61	9.082440781593323	320443	5879	287.40820611687764	88.80082	96.06485	281.3634	-44.558754	587.9	390.857889775811
62	9.222247854868572	326090	5647	673.2108122070827	90.0719	83.5836	256.2736	-10.779037	513.3636363636364	368.8737829781279
63	9.431156996885935	332084	5994	478.20738508629285	132.48494	31.753448	170.57777	84.14908	999.0	0.0
64	9.596863345305126	337145	5061	509.04728423591655	123.112915	104.27289	266.91046	-35.38063	723.0	319.9098087184663
65	9.783849203586579	343040	5895	525.4525079372257	110.692696	81.62528	237.22232	-27.98922	655.0	334.1220668491615
66	9.898173622290294	348115	5075	739.8816618560896	32.91448	117.10062	274.20645	-113.1703	362.5	163.07655958387855
67	10.014247862497966	353226	5111	733.8946019785802	14.93823	85.601234	231.69766	-105.70464	340.73333333333335	268.2979604014081
68	10.136256269613902	358374	5148	703.2605993630284	27.551767	103.62111	203.26288	-89.813965	343.2	219.78753376841004
69	10.241969664891561	363396	5022	791.8008377442778	73.55417	127.89614	229.61688	-86.50406	334.8	128.7624168769754
70	10.359800080458323	368721	5325	753.2409672303787	9.444565	110.62436	187.66905	-129.18391	295.8333333333333	137.04753838642185
71	10.466972092787424	373852	5131	797.9801124322382	56.12729	108.836525	197.25128	-105.99579	320.6875	105.98922041297408
72	10.576626137892406	379091	5239	796.3221493360153	-25.073744	110.47559	183.18939	-165.69467	327.4375	68.77042310288631
73	10.73167130947113	384342	5251	564.4799160160095	-10.308466	128.97336	165.99039	-158.1077	525.1	128.33506925232868
74	10.882029342651368	389441	5099	565.2208111670533	-120.466965	99.233925	95.082794	-266.02023	637.375	98.16432333083135
75	11.087840521335602	394480	5039	408.0687741079969	-138.32106	113.01115	48.940586	-305.00146	839.8333333333334	142.68545437040487
76	11.338279922803244	400474	5994	398.9060957269279	-76.19939	31.063366	-25.502235	-130.03813	999.0	0.0
77	11.600053457419078	406468	5994	381.63490627465137	-75.57209	25.956387	-36.68666	-118.47763	999.0	0.0
78	11.807193108399709	412154	5686	457.5104354310039	-32.10868	72.58806	127.0798	-85.6124	947.6666666666666	114.78482284498921
79	12.032472737630208	417237	5083	376.05830735895137	-22.930323	145.43314	171.00864	-244.76065	726.1428571428571	168.5970924774112
80	12.221520002683004	422285	5048	445.0519939180061	47.645412	97.216866	165.45555	-111.72992	721.1428571428571	169.8532379702536
81	12.729975457986196	427296	5011	164.25679064570383	16.857893	165.13727	224.31075	-264.04395	417.5833333333333	88.79795261653778
82	12.83929169178009	432359	5063	771.9626087583989	72.32078	119.76566	233.18033	-93.0159	316.4375	74.12402507790574
83	12.947438164552052	437672	5313	818.8427532630853	54.74481	165.82912	286.28833	-244.4451	295.1666666666667	94.4858895991001
84	13.03476516008377	442824	5152	983.3211785390339	32.593517	125.62104	257.93225	-255.53217	214.66666666666666	94.2583624347935
85	13.113567026456197	447924	5100	1078.7098114610976	52.923393	113.43491	285.7883	-187.19627	188.88888888888889	92.50959242888288
86	13.185754819711049	453011	5087	1174.564687164145	30.948093	90.049385	249.83919	-223.76184	169.56666666666666	81.17868494185458
87	13.241225810845693	458042	5031	1511.893643267489	24.68932	42.016617	236.72394	-37.69073	119.78571428571429	21.267609750270385
88	13.300892305374145	463068	5026	1404.0408975094601	27.637407	55.41832	270.0022	-75.521706	128.87179487179486	46.662003148215526
89	13.361621006329854	468132	5064	1389.9223648204415	12.460339	75.97344	274.51126	-258.09055	133.26315789473685	51.71464427155004
90	13.430921339988709	473429	5297	1274.028762350288	15.294032	95.181786	239.0995	-210.96379	151.34285714285716	72.21552775532138
91	13.5031636039416	478626	5197	1199.1555050319007	48.884575	109.65998	271.36743	-265.4616	162.40625	74.58588144506639
92	13.585965677102406	483860	5234	1053.567512610255	55.78951	142.76965	242.37921	-189.90659	218.08333333333334	87.9099523502443
93	13.675248928864796	488905	5045	941.8039058738367	42.814915	159.87996	257.78467	-257.02155	240.23809523809524	95.80183155715352
94	13.755849019686382	493980	5075	1049.4728081183462	50.62463	127.91106	240.74106	-250.31068	195.19230769230768	93.97381764282466
95	13.85214919646581	499279	5299	917.1878079844585	33.62411	135.54918	251.2424	-252.75612	230.3913043478261	110.42201227088218
96	13.937091306845348	504472	5193	1018.9933076142368	24.608246	135.57336	257.0484	-168.06659	216.375	87.4375074457943
97	14.041994643211364	509775	5303	842.6548602616434	33.818897	162.48422	239.94391	-224.23431	311.94117647058823	78.05463440153373
98	14.197629241148631	514974	5199	556.7684059330385	-26.334206	135.26279	154.7297	-242.81056	433.25	207.96639351908118
99	14.385874978701274	520064	5090	450.6619171939568	-104.371994	116.30261	205.48752	-239.07712	462.72727272727275	200.9527718866441
100	14.531126284599305	525172	5108	586.1342740588648	-150.37416	38.44087	-101.3151	-250.00002	464.3636363636364	90.99777492511734
1	0.05427778959274292	5053	5053	1551.5844476519876	-222.56801	120.96726	24.50083	-470.23843	114.8409090909091	31.84118486675721
2	0.10663900375366211	10079	5026	1600.2341003064503	-204.49072	143.22687	-39.99712	-597.5581	104.70833333333333	21.917419188601766
3	0.16034188667933147	15219	5140	1595.362294130754	-151.15262	76.08934	13.126358	-338.2693	114.22222222222223	29.48211426828807
4	0.21196029583613077	20220	5001	1614.8985896698975	-131.19249	77.23401	-43.11547	-404.8061	102.06122448979592	25.70349627870894
5	0.26796412467956543	25241	5021	1494.3528133180157	-167.55173	104.35531	-24.66077	-508.9178	119.54761904761905	32.898981299145746
6	0.32589670022328693	30313	5072	1459.3000581840192	-148.6288	101.339226	33.15419	-445.67224	120.76190476190476	33.91081406657169
7	0.38174956242243446	35317	5004	1493.347604604893	-168.10904	88.10068	-32.673813	-406.22128	125.1	33.04375886608543
8	0.43894683519999184	40377	5060	1474.5660332262662	-161.99669	117.33337	-25.061283	-497.22028	129.74358974358975	36.855029889275386
9	0.49575822750727333	45437	5060	1484.5819481583553	-144.42268	78.57788	-17.924692	-361.9643	126.5	31.256199385081995
10	0.5509507457415262	50551	5114	1544.6864602732228	-135.41994	95.37432	30.26101	-369.57162	113.64444444444445	26.845364222653295
11	0.6071804801623026	55648	5097	1510.8773445652814	-109.80474	70.007	39.64096	-292.86426	118.53488372093024	31.87573899714932
12	0.663717246055603	60681	5033	1483.8047936397638	-111.34977	90.95563	0.81108856	-412.73837	129.05128205128204	36.858668895055324
13	0.7189236998558044	65749	5068	1530.1554384511583	-99.38521	73.43214	19.72406	-312.88098	115.18181818181819	33.3359434239822
14	0.8225709835688273	70778	5029	808.7053994079353	-84.01171	59.608776	13.491364	-247.72409	162.2258064516129	155.5269315289196
15	0.8773757179578145	75812	5034	1531.0156311453443	-81.935326	40.302853	14.399208	-192.76077	119.85714285714286	31.161309518124455
16	0.9343815088272095	80992	5180	1514.5987317981808	-70.1542	36.804916	-13.672092	-166.63574	123.33333333333333	30.505789198169822
17	0.9929359277089437	86046	5054	1438.6522159052079	-68.63115	38.962036	-12.7565155	-204.15158	133.0	35.948061949077825
18	1.060459013779958	91144	5098	1258.436890359492	-70.54734	47.83597	5.743637	-241.77115	154.4848484848485	89.63363857598877
19	1.1250988086064657	96367	5223	1346.8052359464396	-89.25412	52.70342	2.0501213	-200.67967	153.61764705882354	45.44745816090485
20	1.2305369655291238	102207	5840	923.1676642475104	-65.12332	54.816322	60.57229	-187.11377	188.38709677419354	161.9634919873382
21	1.4697144309679666	107310	5103	355.60024045905527	-85.31268	81.81544	16.397255	-225.51317	189.0	73.47914796175297
22	1.5491772929827372	112351	5041	1057.3681916579405	-65.26529	99.32156	39.665123	-305.82324	186.7037037037037	97.6982561028693
23	1.7237223148345948	117824	5473	522.6088814405825	-77.81567	77.32259	29.548798	-232.16006	421.0	335.11720108275324
24	1.947402544816335	123775	5951	443.4336946498296	-53.1785	75.682884	43.61121	-263.83575	330.6111111111111	266.5145688927695
25	2.1624780456225077	129028	5253	407.0769437814723	-141.74583	101.81764	9.463989	-290.04358	477.54545454545456	289.9317674075508
26	2.333540936311086	134079	5051	492.1360301918462	-76.71762	98.39639	57.053665	-294.54037	336.73333333333335	275.54418076881166
27	2.569707119464874	139235	5156	363.87635396551	-40.01992	82.602516	88.80024	-265.24713	396.61538461538464	341.087297298944
28	2.730631919701894	144320	5085	526.6605878231476	-54.031906	111.61217	32.68898	-434.2892	339.0	282.3935787749667
29	2.9045051614443462	149490	5170	495.58327964117797	-146.13927	166.14868	20.66809	-395.1884	430.8333333333333	271.0171683778641
30	3.064814877510071	154584	5094	529.6135716891102	-57.736645	131.88014	45.42111	-412.94995	363.85714285714283	294.98761648169403
31	3.3037224253018698	159805	5221	364.23368992875805	-62.38624	114.47999	42.187775	-295.0329	522.1	345.58629891822966
32	3.6274091680844625	165551	5746	295.8672653904659	-28.490881	34.022438	13.120689	-81.68741	574.6	425.48024630997855
33	3.8372671127319338	171526	5975	474.5390980048862	-14.93725	43.88089	48.995872	-145.37535	351.47058823529414	304.51332775759903
34	4.008309539159139	176668	5142	501.06190023662026	-2.5448792	28.831623	61.029938	-52.131622	270.63157894736844	264.49141077016304
35	4.164624007542928	182632	5964	635.9586428552361	-0.02997381	37.51994	71.53381	-130.39813	271.09090909090907	243.11144266306968
36	4.4211612383524574	188506	5874	381.62968712809743	-12.898484	71.28136	52.06317	-212.74985	534.0	424.85805116104797
37	4.677021928628286	193563	5057	329.4178540428508	-1.0652509	32.826447	42.12326	-60.016907	561.8888888888889	393.0720726800464
38	4.916804774602254	199165	5602	389.3869644665636	-34.220646	105.98066	44.797752	-317.0774	560.2	361.89164124085545
39	5.1545509974161785	204654	5489	384.8009761035151	0.5656344	67.52315	63.364754	-197.79033	457.4166666666667	385.12713449226374
40	5.355224732557932	209828	5174	429.73059553488537	25.229664	18.79168	49.87535	-21.407112	344.93333333333334	329.24670925546934
41	5.960301804542541	215120	5292	145.76786503549172	26.29276	20.254234	74.0551	-0.28544998	529.2	389.4010272200113
42	6.203800316651662	220131	5011	342.9934449290551	29.74865	29.98343	70.34396	-9.111465	556.7777777777778	397.4378435757884
43	6.368735611438751	225241	5110	516.3809172052939	22.204243	25.936003	62.636482	-29.814632	393.0769230769231	334.2446044759762
44	6.469376138846079	230331	5090	842.980806586533	1.8209096	26.539915	57.12714	-36.507828	221.30434782608697	170.99642375680884
45	6.618979529539744	235487	5156	574.4270506091283	-7.8974524	38.93988	97.696175	-88.61989	286.44444444444446	255.41952901543988
46	6.851503551006317	241229	5742	411.5775125294853	9.012694	42.15983	86.08789	-46.067993	441.6923076923077	372.95810955024155
47	7.1079321026802065	247166	5937	385.8878897713899	15.969067	54.80516	96.32417	-64.18065	659.6666666666666	380.20111636986144
48	7.343481322129567	252570	5404	382.3772453573535	7.963015	70.30795	83.383484	-137.21857	900.6666666666666	219.88001778747932
49	7.538104438781739	258156	5586	478.36994468770564	37.71125	61.09286	108.84419	-92.32963	798.0	319.5045271309044
50	7.782620187600454	263439	5283	360.10638076715236	70.45364	50.492954	123.581726	-35.27856	880.5	264.97405533372506
51	7.993848665555318	268863	5424	427.9809367652042	7.6415644	50.756264	90.07466	-71.843056	602.6666666666666	302.2107432460556
52	8.267302711804708	274857	5994	365.332033672734	77.79657	34.184963	122.65035	9.7248535	999.0	0.0
53	8.501091345151265	280493	5636	401.7944673814655	72.26082	34.240913	112.844406	3.4629593	939.3333333333334	133.41872265748745
54	8.780226373672486	286487	5994	357.89657950793924	81.40574	44.83736	123.245255	13.341362	999.0	0.0
55	9.02786090373993	292481	5994	403.4235315310562	71.6511	27.937395	108.65852	24.011318	999.0	0.0
56	9.272754093011221	297980	5499	374.25092254982076	77.01566	59.071404	141.42824	-26.300564	916.5	184.47560814373264
57	9.512966700394948	303583	5603	388.7614832574907	94.91543	48.73852	185.67798	19.217115	933.8333333333334	145.7170965337363
58	9.67833038965861	308708	5125	516.5505639056685	53.003613	81.28006	157.97556	-45.750744	732.1428571428571	310.9802146078606
59	9.929514753818513	314582	5874	389.75954028723663	113.710365	44.943146	201.73605	51.234154	979.0	44.721359549995796
60	10.108320355415344	319672	5090	474.4596888528703	118.370316	64.005295	203.33188	22.760834	727.1428571428571	336.2687821929818
61	10.621549709637959	325451	5779	187.66942517047136	86.51288	62.860924	144.13818	1.6584129	722.375	357.1725554616424
62	10.80344744126002	330938	5487	502.7677292277186	114.2349	67.26824	180.28929	16.472965	783.8571428571429	342.71622103901836
63	10.958560343583425	336680	5742	616.9864222832385	84.12357	53.136932	176.02101	20.70945	478.5	369.2651486398358
64	11.107990539073944	342558	5878	655.6282869877587	65.40036	68.12989	162.95346	-23.854809	534.3636363636364	352.5043578653313
65	11.287654721736908	347800	5242	486.2933947275602	137.98546	61.573593	230.48212	21.079575	873.6666666666666	257.2804349775206
66	11.487520933151245	353563	5763	480.54716949960937	125.72091	76.784546	266.24927	15.364056	823.2857142857143	284.20551632613336
67	11.636656355857848	358699	5136	574.0657974556844	87.34616	51.069576	146.33008	14.586777	570.6666666666666	383.7296502023846
68	11.792380472024282	363954	5255	562.4401596099284	125.861015	58.90176	166.87425	-3.4335861	875.8333333333334	275.40903922872405
69	11.925176386038462	369038	5084	638.0922520559731	95.37953	67.69062	181.47986	8.42067	564.8888888888889	388.73625576116495
70	12.053943188985189	374404	5366	694.5596940789454	87.76592	62.3406	173.55307	13.383045	536.6	377.9571933433732
71	12.21803363164266	379641	5237	531.9398022024764	149.12181	52.322067	196.28304	37.068405	872.8333333333334	282.1172431612235
72	12.383574787775675	384914	5273	530.9064848296796	128.76648	45.354713	173.23666	31.381565	878.8333333333334	268.70083529622474
73	12.566887692610424	390108	5194	472.2579733961727	98.475006	87.44215	265.85028	2.6847687	649.25	360.45899558757026
74	12.73172920147578	395234	5126	518.2898765559	77.91119	71.55026	199.5896	-39.632362	732.2857142857143	321.14292069140197
75	12.907480529944102	400485	5251	497.9685800528544	82.413506	78.93526	201.37897	-32.40046	750.1428571428571	291.57818288530075
76	13.06688334941864	405697	5212	544.9646347427514	80.27456	103.80829	213.163	-52.90782	521.2	237.26095338255723
77	13.267754236857096	411136	5439	451.2940500049555	56.184742	61.09582	180.94983	-19.814598	777.0	263.75042315470455
78	13.471626671155294	416906	5770	471.71271562498146	80.71274	84.09517	201.40295	-62.876877	721.25	181.98815208688723
79	13.644794897238414	422087	5181	498.65898773002755	2.0006332	97.92705	110.97841	-152.97139	863.5	121.9996584694673
80	13.872245025634765	427923	5836	427.64718337732313	-50.85286	58.43125	42.163292	-144.54434	972.6666666666666	42.0977698010503
81	14.587311446666718	433217	5294	123.39255842465603	-73.61291	22.46923	-40.865017	-115.93754	882.3333333333334	192.86927063572247
